zip,city,metro,median_home_value,fips
77354,nan,"Houston-The Woodlands-Sugar Land, TX",375879.7409623959,48339
1970,Salem,"Boston-Cambridge-Newton, MA-NH",590451.4516677092,25009
10304,New York,"New York-Newark-Jersey City, NY-NJ-PA",685237.9259064741,36085
90043,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",816163.0747316126,06037
75024,Plano,"Dallas-Fort Worth-Arlington, TX",625203.5324472147,48085
60115,Dekalb,"Chicago-Naperville-Elgin, IL-IN-WI",247332.42624161288,17037
8360,Vineland,"Vineland-Bridgeton, NJ",279841.9092991261,34011
94582,San Ramon,"San Francisco-Oakland-Berkeley, CA",1697309.141975948,06013
89101,Las Vegas,"Las Vegas-Henderson-Paradise, NV",311720.1500037031,32003
40299,Louisville,"Louisville/Jefferson County, KY-IN",328258.4711001011,21111
33155,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",688852.1835834002,12086
94403,San Mateo,"San Francisco-Oakland-Berkeley, CA",1731579.5616748054,06081
93534,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",411593.8488782714,06037
96786,Wahiawa,"Urban Honolulu, HI",828721.9666295806,15003
37174,Spring Hill,"Nashville-Davidson--Murfreesboro--Franklin, TN",507872.76762847946,47119
43147,Pickerington,"Columbus, OH",409364.0921219426,39045
95762,El Dorado Hills,"Sacramento-Roseville-Folsom, CA",887289.8384086589,06017
96701,Aiea,"Urban Honolulu, HI",822859.2836450752,15003
30815,Hephzibah,"Augusta-Richmond County, GA-SC",212250.51129284044,13245
43204,Columbus,"Columbus, OH",193344.94663377284,39049
90241,Downey,"Los Angeles-Long Beach-Anaheim, CA",904323.5810280986,06037
21702,Frederick,"Washington-Arlington-Alexandria, DC-VA-MD-WV",453239.2635749464,24021
99205,Spokane,"Spokane-Spokane Valley, WA",309765.75576470647,53063
30165,Rome,"Rome, GA",231152.77658422664,13115
45231,Cincinnati,"Cincinnati, OH-KY-IN",207312.92045089277,39061
60540,Naperville,"Chicago-Naperville-Elgin, IL-IN-WI",605157.3341726689,17043
23234,Richmond,"Richmond, VA",300194.88068211667,51041
98837,Moses Lake,"Moses Lake, WA",359497.09546927974,53025
15317,Canonsburg,"Pittsburgh, PA",374457.9189591519,42125
94901,San Rafael,"San Francisco-Oakland-Berkeley, CA",1337826.5919543777,06041
48310,Sterling Heights,"Detroit-Warren-Dearborn, MI",306500.686678879,26099
78043,Laredo,"Laredo, TX",178096.62885962136,48479
