zip,price_to_income_ratio,annual_rent_to_income_ratio,rent_to_home_value_ratio,affordability_index,affordability_tier
10001,17.07015784709775,0.3496195434521426,0.020481330435475995,9.632108803630677,1
10002,9.782994532702167,0.3496195434521426,0.03573747713784871,16.639919280464444,1
10003,13.400539773205725,0.3496195434521426,0.02608995976051682,12.22468230447401,1
10004,11.926371579346966,0.3496195434521426,0.029314829001100613,13.706758874027983,1
10005,11.195003579580876,0.3496195434521426,0.031229962631707513,14.583956263962543,1
10006,10.523515517099817,0.3496195434521426,0.03322269472440465,15.494370046513641,1
10007,30.378288945894518,0.3496195434521426,0.011508862269196106,5.444600292734259,1
10009,10.03670904665837,0.3496195434521426,0.034834081751980765,16.228831074226346,1
1001,4.981448629185114,0.3123433254777166,0.06270130412422038,32.11503340128715,2
10010,12.887505523413374,0.3496195434521426,0.027128565944508912,12.702685427834743,1
10011,15.98327890120005,0.3496195434521426,0.021874081383006623,10.277687538261363,1
10012,26.596938534829288,0.3496195434521426,0.013145104764381356,6.211947574356309,1
10013,34.95856267904838,0.3496195434521426,0.010000970196113903,4.735972958925231,1
10014,18.43351326288958,0.3496195434521426,0.018966517042413072,8.928606684518515,1
10016,9.44486591461584,0.3496195434521426,0.037016887969908575,17.221285733424473,1
10017,7.675332629941829,0.3496195434521426,0.04555106082155456,21.074605092054963,1
10018,13.908273242112552,0.3496195434521426,0.025137523355058724,11.785765294195134,1
10019,12.090166107314229,0.3496195434521426,0.028917679074783934,13.52457537013364,1
1002,6.0811811628994255,0.2862005355548944,0.04706331350576601,26.5732075480297,2
10021,14.06439568039803,0.3496195434521426,0.02485848317958075,11.657069677214066,1
10022,11.18611825973405,0.3496195434521426,0.03125476911062576,14.595304093866526,1
10023,14.174284484601557,0.3496195434521426,0.024665763117140544,11.5681581017641,1
10024,15.079196215746368,0.3496195434521426,0.023185555678826852,10.884513029365452,1
10025,10.908434582868702,0.3496195434521426,0.03205038640477409,14.959067726389295,1
10026,8.281062664126848,0.3496195434521426,0.04221916408949265,19.575273659311144,1
10027,8.138070728058272,0.3496195434521426,0.04296098610285255,19.909649000565885,1
10028,14.086573277674098,0.3496195434521426,0.024819346519586623,11.639015762276172,1
10029,7.334405487942212,0.3496195434521426,0.04766842302718582,22.024049287650833,2
10030,6.88842607732045,0.3496195434521426,0.05075463386378418,23.403290256339286,2
10031,5.274402390233865,0.3496195434521426,0.06628609605127997,30.26186269299148,2
10032,5.430372779943538,0.3496195434521426,0.06438223628834883,29.4284568265311,2
10033,6.069028988435241,0.3496195434521426,0.05760716320820934,26.446174609453212,2
10034,4.712075175784383,0.3496195434521426,0.07419651223920554,33.70302265555481,2
10035,7.054520204081023,0.3496195434521426,0.04955964875540204,22.86989804052863,2
10036,10.093493978418142,0.3496195434521426,0.034638108884762535,16.13959014164032,1
10037,5.799191504085483,0.3496195434521426,0.06028763547571044,27.629173349234712,2
10039,6.155704082507591,0.3496195434521426,0.05679602832852897,26.087385714457195,2
10040,5.209185140836965,0.3496195434521426,0.06711597572359827,30.624504994637178,2
10044,9.110399952108569,0.3496195434521426,0.038375872112093645,17.837751346407714,1
1005,4.441498071915347,0.2542700284668564,0.05724870851001075,36.146231709516215,3
10065,15.82764420004609,0.3496195434521426,0.022089171264737206,10.377282353473973,1
10069,18.66893552297928,0.3496195434521426,0.01872734216805247,8.817401993335567,1
1007,5.419848819699293,0.2862005355548944,0.05280599977524345,29.70541579354787,2
10075,11.912842841322576,0.3496195434521426,0.029348120184999223,13.722026149889983,1
1008,5.32009064872272,0.3123433254777166,0.05871015102960808,30.147799107965053,2
1010,6.306532743625965,0.3123433254777166,0.04952694898689031,25.58292631442129,2
1011,4.338305154384405,0.3123433254777166,0.07199662411069774,36.65796082737676,3
1012,4.5426253900744,0.2862005355548944,0.06300333198952313,35.21058015294529,2
10128,11.575724103079901,0.3496195434521426,0.03020282276416046,14.113763723029052,1
1013,4.547197269889696,0.3123433254777166,0.06868919621015107,35.047682644077035,2
1020,4.7234321940426796,0.3123433254777166,0.06612634894423855,33.795239381004244,2
1022,3.468086422786798,0.3123433254777166,0.09006215168846096,45.33524814228277,4
1026,4.383830984562059,0.2862005355548944,0.06528548581429527,36.43280829016992,3
1027,4.965763433799508,0.2862005355548944,0.05763475029979643,32.321265367230666,2
1028,6.140415628735445,0.3123433254777166,0.0508668051745612,26.252323049663975,2
10280,7.762297345798783,0.3496195434521426,0.045040730582340864,20.845379248904553,1
10282,20.941120295972777,0.3496195434521426,0.016695360062440334,7.871214342583216,1
1030,5.771059108296852,0.3123433254777166,0.054122357719170025,27.873998859243716,2
10301,7.2107936363114,0.3630503716795758,0.05034818495586432,22.362878113805824,2
10302,6.449147188844694,0.3630503716795758,0.05629432249702041,24.90840890367294,2
